id, name, value
11,IyWJ,10.44
12,bTFY,11.84
13,KXNo,12.52
14,NfZI,13.74
15,vDIu,14.06
16,tCjk,15.19
17,XcPd,16.39
18,PzOf,17.53
19,PCJR,18.05
20,Lvtv,19.54
21,bALX,20.52
22,gHpI,21.93
23,ysoa,22.01
24,wNKS,23.33
25,YKEX,24.27
26,jeNv,25.04
27,QgBS,26.64
28,aHeh,27.85
29,IMXx,28.99
30,qyhy,29.71
31,ZbvG,30.81
32,RrkO,31.99
33,SbRq,32.09
34,IfWX,33.98
35,ufuV,34.83
36,arIE,35.42
37,hSqd,36.03
38,LCjg,37.79
39,zyTU,38.58
40,wlXz,39.69
41,gDRK,40.37
42,QwkC,41.74
43,zOqF,42.77
44,ovrv,43.91
45,Ehmh,44.53
46,RrNL,45.14
47,tACD,46.64
48,AmBS,47.48
49,JDLx,48.01
50,sgyd,49.47
51,ogYB,50.06
52,rKaM,51.41
53,IbBB,52.46
54,oAfo,53.2
55,cDYg,54.58
56,cXGF,55.08
57,HlAH,56.53
58,YqLJ,57.95
59,ggxK,58.34
60,hqJo,59.22
61,Sukn,60.58
62,hujP,61.92
63,DsAE,62.28
64,jGYJ,63.84
65,CPcx,64.93
66,dITI,65.84
67,vzTY,66.99
68,xsgD,67.92
69,QHqF,68.87
70,tQLr,69.88
71,HojC,70.15
72,pcns,71.65
73,frBj,72.03
74,cThJ,73.48
75,SeOB,74.83
76,pSzS,75.79
77,jftj,76.57
78,ISJm,77.44
79,smMP,78.11
80,dJtZ,79.76
81,iluX,80.19
82,ELKu,81.66
83,UvmU,82.26
84,QSuy,83.88
85,Xnlp,84.92
86,Gyoe,85.77
87,hABB,86.23
88,STzo,87.8
89,yNcs,88.02
90,GYvA,89.51
91,hDfv,90.12
92,EfWr,91.06
93,CDqi,92.62
94,nTla,93.93
95,zYAw,94.18
96,hnMj,95.83
97,uugV,96.91
98,Jolx,97.2
99,YNQG,98.65
100,bUkK,99.24
101,piuY,100.79
102,ZuyZ,101.27
103,CBUD,102.47
104,vcDz,103.25
105,SAAU,104.71
106,Yadq,105.41
107,apOn,106.79
108,VZxh,107.88
109,YeKO,108.56
110,SgnF,109.73
111,vJIE,110.74
112,RCae,111.69
113,aYmj,112.53
114,vTWy,113.47
115,TIxi,114.99
116,RdHa,115.18
117,uiIF,116.97
118,egwp,117.91
119,maqR,118.63
120,yVtK,119.07
121,Ngdr,120.85
122,hpvF,121.85
123,DkKo,122.16
124,buOo,123.87
125,eLRa,124.64
126,zPPZ,125.72
127,mIjp,126.11
